,company_name,rating,description,highly rated for,critically rated for
0,TCS,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +339 more,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1,Accenture,4.0,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +173 more,"Company Culture, Skill Development / Learning, Job Security",--
2,Cognizant,3.9,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +156 more,Skill Development / Learning,Promotions / Appraisal
3,Wipro,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +276 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
4,Capgemini,3.9,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +140 more,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
5,HDFC Bank,4.0,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1534 more,"Job Security, Skill Development / Learning",Promotions / Appraisal
6,ICICI Bank,4.0,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1279 more,"Job Security, Skill Development / Learning, Company Culture",--
7,Infosys,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +181 more,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
8,HCLTech,3.7,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +182 more,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9,Tech Mahindra,3.7,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +263 more,--,"Promotions / Appraisal, Salary & Benefits"
10,Genpact,3.9,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +109 more,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
